timestamp,price,jup_li_zscore7d_signal,ba_oi_zscore7d_signal,cme_oi_zscore7d_signal,all_miner_outflow,binance_btc_inflow,binance_btc_netflow,binance_btc_outflow,long_term_holder_sopr,MVMR,short_term_holder_sorp,WBTC_long_diff,WBTC_short_diff,all_miner_reverse_usd_diff,binance_reverse_usd_diff,btc_network_difficulity_diff,btc_network_hashrate_diff,exchange_stable_ratio_diff,open_interest_diff,realized_cap_diff
2025-03-16 20:00:00,83178.5,0.5490351659704454,-0.7320100396257503,-1.615508587591319,3361.90486001,3136.88978971,-590.292758,3727.18254771,2.15325809,1.93699495,1.0029134,2932259.662643239,1221397.6621214598,53100263.97634888,18988635.26160431,0.0,-55749820921.31543,0.0167192800000002,95256448.49120712,159086902.76782227
2025-03-16 21:00:00,82728.9,0.5464845168463275,-0.7266175546096492,-1.6063250738510977,3361.90486001,3136.88978971,-590.292758,3727.18254771,2.15325809,1.93699495,1.0029134,2932259.662643239,1221397.6621214598,53100263.97634888,18988635.26160431,0.0,-55749820921.31543,0.0167192800000002,95256448.49120712,159086902.76782227
2025-03-16 22:00:00,82050.1,0.5439406719495875,-0.7212569430111347,-1.5972506524597745,3361.90486001,3136.88978971,-590.292758,3727.18254771,2.15325809,1.93699495,1.0029134,2932259.662643239,1221397.6621214598,53100263.97634888,18988635.26160431,0.0,-55749820921.31543,0.0167192800000002,95256448.49120712,159086902.76782227
2025-03-16 23:00:00,82541.6,0.541403569737821,-0.7159276581870826,-1.588282994335665,3361.90486001,3136.88978971,-590.292758,3727.18254771,2.15325809,1.93699495,1.0029134,2932259.662643239,1221397.6621214598,53100263.97634888,18988635.26160431,0.0,-55749820921.31543,0.0167192800000002,95256448.49120712,159086902.76782227
2025-03-17 00:00:00,83023.9,0.0480147192668516,0.9737579425173406,-0.9268607301365944,2926.82202886,2866.46821898,247.90793542000029,2618.56028356,2.08490001,1.89476683,0.99165283,5517316.632391408,-2986873.1708074994,-1188821894.5897827,-1037878301.0591812,0.0,72474767197.70996,-0.1085591200000006,-1356333641.6944237,114812550.0571289
2025-03-17 01:00:00,83199.7,0.0365064658485456,0.9729258509421088,-0.9159227458505224,2926.82202886,2866.46821898,247.90793542000029,2618.56028356,2.08490001,1.89476683,0.99165283,5517316.632391408,-2986873.1708074994,-1188821894.5897827,-1037878301.0591812,0.0,72474767197.70996,-0.1085591200000006,-1356333641.6944237,114812550.0571289
2025-03-17 02:00:00,83173.4,0.0247322622243257,0.9720947860135094,-0.9050943133517718,2926.82202886,2866.46821898,247.90793542000029,2618.56028356,2.08490001,1.89476683,0.99165283,5517316.632391408,-2986873.1708074994,-1188821894.5897827,-1037878301.0591812,0.0,72474767197.70996,-0.1085591200000006,-1356333641.6944237,114812550.0571289
2025-03-17 03:00:00,83641.0,0.0126720102111248,0.9712647451624576,-0.8943716000344069,2926.82202886,2866.46821898,247.90793542000029,2618.56028356,2.08490001,1.89476683,0.99165283,5517316.632391408,-2986873.1708074994,-1188821894.5897827,-1037878301.0591812,0.0,72474767197.70996,-0.1085591200000006,-1356333641.6944237,114812550.0571289
2025-03-17 04:00:00,83589.6,0.0003035386754004,0.9704357258287708,-0.8837508844635169,2926.82202886,2866.46821898,247.90793542000029,2618.56028356,2.08490001,1.89476683,0.99165283,5517316.632391408,-2986873.1708074994,-1188821894.5897827,-1037878301.0591812,0.0,72474767197.70996,-0.1085591200000006,-1356333641.6944237,114812550.0571289
2025-03-17 05:00:00,83088.9,-0.0123976905306271,0.9696077254610842,-0.8732285499144837,2926.82202886,2866.46821898,247.90793542000029,2618.56028356,2.08490001,1.89476683,0.99165283,5517316.632391408,-2986873.1708074994,-1188821894.5897827,-1037878301.0591812,0.0,72474767197.70996,-0.1085591200000006,-1356333641.6944237,114812550.0571289
